Code,System,Type 1 Departments,Type 2 Departments,Type 3 Departments,Total Attendances,Attendances < 4 hours (Type 1),Attendances < 4 hours (Type 2),Attendances < 4 hours (Type 3),Total Attendances < 4 hours,Attendances > 4 hours (Type 1),Attendances > 4 hours (Type 2),Attendances > 4 hours (Type 3),Total Attendances > 4 hours,Percentage in 4 hours (all),Percentage in 4 hours (Type 1),Percentage in 4 hours (Type 2),Percentage in 4 hours (Type 3),Emergency Admissions Type 1,Emergency Admissions Type 2,Emergency Admissions Type 3 and 4,Total Emergency Admissions via A&E,Other Emergency Admissions (not via A&E),Total Emergency Admissions,Patients spending >4 hours from decision to admit,Patients spending >12 hours from decision to admit,Month,Percentage_Under_4_Hours,Holiday_Event_Month
QXU,NHS Surrey Heartlands Integrated Care Board,29691.0,0.0,6219.0,35910.0,18070.0,0.0,6004.0,24074.0,11621.0,0.0,215.0,11836.0,0.6703982177666388,0.6086019332457647,-,0.9654285254864126,8416.0,0.0,0.0,8416.0,2450.0,10866.0,2514.0,865.0,12,67.03982177666387,1
QNX,NHS Sussex Integrated Care Board,35740.0,1245.0,26792.0,63777.0,20300.0,1219.0,26059.0,47578.0,15440.0,26.0,733.0,16199.0,0.746005613308873,0.5679910464465585,0.9791164658634538,0.9726410868916094,11636.0,21.0,43.0,11700.0,2262.0,13962.0,1717.0,842.0,12,74.6005613308873,1
QUA,NHS Black Country Integrated Care Board,43414.0,947.0,34176.0,78537.0,27159.0,787.0,32160.0,60106.0,16255.0,160.0,2016.0,18431.0,0.7653208042069343,0.6255816096190169,0.8310454065469906,0.9410112359550562,16148.0,0.0,0.0,16148.0,4509.0,20657.0,6169.0,1370.0,12,76.53208042069343,1
QWO,NHS West Yorkshire Integrated Care Board,67056.0,1840.0,24416.0,93312.0,40617.0,1840.0,23647.0,66104.0,26439.0,0.0,769.0,27208.0,0.7084190672153635,0.6057176091624911,1,0.968504259501966,15074.0,0.0,202.0,15276.0,4418.0,19694.0,8400.0,1890.0,12,70.84190672153635,1
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",19253.0,382.0,11365.0,31000.0,11814.0,382.0,11006.0,23202.0,7439.0,0.0,359.0,7798.0,0.7484516129032258,0.6136186568327014,1,0.9684117905851298,6431.0,0.0,7.0,6438.0,4018.0,10456.0,1580.0,11.0,7,74.84516129032258,0
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",25476.0,0.0,16975.0,42451.0,15951.0,0.0,16863.0,32814.0,9525.0,0.0,112.0,9637.0,0.7729853242562013,0.6261186999528968,-,0.9934020618556701,6836.0,0.0,0.0,6836.0,2445.0,9281.0,457.0,4.0,7,77.29853242562012,0
QHL,NHS Birmingham And Solihull Integrated Care Board,39312.0,377.0,16341.0,56030.0,24977.0,377.0,16265.0,41619.0,14335.0,0.0,76.0,14411.0,0.7427985008031411,0.6353530728530729,1,0.9953491218407686,12737.0,0.0,0.0,12737.0,6435.0,19172.0,4556.0,1665.0,7,74.27985008031412,0
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",24188.0,2339.0,9184.0,35711.0,16213.0,2206.0,8632.0,27051.0,7975.0,133.0,552.0,8660.0,0.7574976897874605,0.6702910534149165,0.9431380932022232,0.9398954703832753,7759.0,8.0,0.0,7767.0,3528.0,11295.0,2027.0,271.0,7,75.74976897874605,0
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",36537.0,5762.0,13930.0,56229.0,24815.0,5735.0,13293.0,43843.0,11722.0,27.0,637.0,12386.0,0.7797222074018745,0.6791745354024687,0.9953141270392225,0.9542713567839196,10927.0,1021.0,59.0,12007.0,7411.0,19418.0,1558.0,232.0,7,77.97222074018745,0
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,25308.0,0.0,12053.0,37361.0,15057.0,0.0,11754.0,26811.0,10251.0,0.0,299.0,10550.0,0.7176199780519793,0.594950213371266,-,0.9751928980336846,6460.0,0.0,105.0,6565.0,1966.0,8531.0,2289.0,1243.0,7,71.76199780519794,0
QYG,NHS Cheshire And Merseyside Integrated Care Board,70758.0,3406.0,48868.0,123032.0,40281.0,3244.0,47972.0,91497.0,30477.0,162.0,896.0,31535.0,0.7436845698680018,0.5692783854829135,0.9524368761009983,0.9816648931816322,22013.0,118.0,0.0,22131.0,8740.0,30871.0,8857.0,3814.0,7,74.36845698680018,0
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6708.0,0.0,13834.0,20542.0,2830.0,0.0,12972.0,15802.0,3878.0,0.0,862.0,4740.0,0.7692532372699834,0.42188431723315445,-,0.9376897498915715,2287.0,0.0,59.0,2346.0,1542.0,3888.0,1089.0,510.0,7,76.92532372699834,0
QWU,NHS Coventry And Warwickshire Integrated Care Board,27027.0,841.0,8487.0,36355.0,16729.0,634.0,8140.0,25503.0,10298.0,207.0,347.0,10852.0,0.701499106037684,0.618973618973619,0.7538644470868014,0.9591139389654766,4982.0,55.0,103.0,5140.0,1435.0,6575.0,1004.0,151.0,7,70.14991060376839,0
QHM,NHS North East And North Cumbria Integrated Care Board,74955.0,3103.0,66295.0,144353.0,44168.0,2988.0,65506.0,112662.0,30787.0,115.0,789.0,31691.0,0.7804617846528995,0.5892602228003468,0.9629390912020626,0.9880986499736029,25088.0,43.0,743.0,25874.0,10611.0,36485.0,5534.0,461.0,7,78.04617846528996,0
QJK,NHS Devon Integrated Care Board,30482.0,131.0,15175.0,45788.0,16872.0,131.0,14793.0,31796.0,13610.0,0.0,382.0,13992.0,0.6944177513759063,0.5535069877304639,1,0.9748270181219111,9305.0,0.0,0.0,9305.0,4706.0,14011.0,2402.0,621.0,7,69.44177513759064,0
QVV,NHS Dorset Integrated Care Board,18513.0,0.0,8786.0,27299.0,11441.0,0.0,8782.0,20223.0,7072.0,0.0,4.0,7076.0,0.7407963661672589,0.6179981634527089,-,0.9995447302526748,6130.0,5.0,0.0,6135.0,2927.0,9062.0,1284.0,165.0,7,74.07963661672589,0
QMF,NHS North East London Integrated Care Board,49536.0,3448.0,37106.0,90090.0,31662.0,3069.0,34944.0,69675.0,17874.0,379.0,2162.0,20415.0,0.7733932733932734,0.639171511627907,0.8900812064965197,0.9417344903789144,14254.0,0.0,0.0,14254.0,1809.0,16063.0,3644.0,1518.0,7,77.33932733932734,0
QNQ,NHS Frimley Integrated Care Board,23320.0,1081.0,11275.0,35676.0,13769.0,1079.0,11106.0,25954.0,9551.0,2.0,169.0,9722.0,0.7274918712860187,0.5904373927958834,0.9981498612395929,0.9850110864745011,6076.0,0.0,0.0,6076.0,314.0,6390.0,2398.0,131.0,7,72.74918712860186,0
QR1,NHS Gloucestershire Integrated Care Board,12841.0,0.0,8234.0,21075.0,8097.0,0.0,8219.0,16316.0,4744.0,0.0,15.0,4759.0,0.7741874258600238,0.63055836772837,-,0.9981782851590965,2805.0,0.0,0.0,2805.0,2073.0,4878.0,901.0,456.0,7,77.41874258600238,0
QOP,NHS Greater Manchester Integrated Care Board,86870.0,3713.0,35565.0,126148.0,48686.0,3593.0,34210.0,86489.0,38184.0,120.0,1355.0,39659.0,0.6856153090021245,0.5604466444111892,0.9676811203878266,0.9619007451145789,21843.0,159.0,726.0,22728.0,5672.0,28400.0,11452.0,2388.0,7,68.56153090021245,0
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,40701.0,2269.0,23396.0,66366.0,24722.0,2163.0,22961.0,49846.0,15979.0,106.0,435.0,16520.0,0.7510773588885875,0.607405223458883,0.9532833847509916,0.9814070781330142,12730.0,19.0,29.0,12778.0,5686.0,18464.0,2571.0,123.0,7,75.10773588885876,0
QE1,NHS Lancashire And South Cumbria Integrated Care Board,44736.0,0.0,32087.0,76823.0,28919.0,0.0,31254.0,60173.0,15817.0,0.0,833.0,16650.0,0.7832680317092537,0.6464368741058655,-,0.9740393305700128,13018.0,0.0,213.0,13231.0,5361.0,18592.0,5048.0,2245.0,7,78.32680317092537,0
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,19433.0,1252.0,6478.0,27163.0,10514.0,1252.0,6469.0,18235.0,8919.0,0.0,9.0,8928.0,0.6713176011486213,0.541038439767406,1,0.9986106823093548,5361.0,0.0,0.0,5361.0,1948.0,7309.0,1847.0,601.0,7,67.13176011486213,0
QM7,NHS Hertfordshire And West Essex Integrated Care Board,26058.0,0.0,22148.0,48206.0,14485.0,0.0,21606.0,36091.0,11573.0,0.0,542.0,12115.0,0.7486827365888064,0.5558753549773582,-,0.9755282644031064,9512.0,0.0,102.0,9614.0,1437.0,11051.0,1454.0,149.0,7,74.86827365888064,0
QOQ,NHS Humber And North Yorkshire Integrated Care Board,34827.0,399.0,30607.0,65833.0,17702.0,399.0,29002.0,47103.0,17125.0,0.0,1605.0,18730.0,0.7154922303404068,0.5082838027966807,1,0.9475610154539811,14330.0,0.0,0.0,14330.0,4315.0,18645.0,4602.0,1789.0,7,71.54922303404068,0
QJ2,NHS Derby And Derbyshire Integrated Care Board,29401.0,0.0,21296.0,50697.0,16859.0,0.0,21040.0,37899.0,12542.0,0.0,256.0,12798.0,0.7475590271613705,0.5734158702084963,-,0.9879789631855748,6986.0,0.0,310.0,7296.0,3248.0,10544.0,2816.0,1105.0,7,74.75590271613704,0
QKS,NHS Kent And Medway Integrated Care Board,52986.0,0.0,42148.0,95134.0,36627.0,0.0,41038.0,77665.0,16359.0,0.0,1110.0,17469.0,0.8163747976538357,0.6912580681689503,-,0.9736642308057322,12932.0,0.0,605.0,13537.0,2443.0,15980.0,4839.0,1930.0,7,81.63747976538357,0
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",21025.0,2004.0,12957.0,35986.0,12373.0,1900.0,12950.0,27223.0,8652.0,104.0,7.0,8763.0,0.7564886344689602,0.5884898929845422,0.9481037924151696,0.9994597514856834,6068.0,3.0,0.0,6071.0,3438.0,9509.0,2551.0,895.0,7,75.64886344689602,0
QJM,NHS Lincolnshire Integrated Care Board,10123.0,0.0,19781.0,29904.0,3179.0,0.0,18384.0,21563.0,6944.0,0.0,1397.0,8341.0,0.7210741037988229,0.3140373407092759,-,0.9293766745867247,4191.0,0.0,0.0,4191.0,1291.0,5482.0,2004.0,993.0,7,72.10741037988228,0
QH8,NHS Mid And South Essex Integrated Care Board,30733.0,0.0,5854.0,36587.0,20954.0,0.0,5617.0,26571.0,9779.0,0.0,237.0,10016.0,0.726241561210266,0.6818078287183158,-,0.9595148616330714,8977.0,0.0,244.0,9221.0,1305.0,10526.0,3062.0,36.0,7,72.6241561210266,0
QMM,NHS Norfolk And Waveney Integrated Care Board,27046.0,0.0,11261.0,38307.0,18147.0,0.0,11254.0,29401.0,8899.0,0.0,7.0,8906.0,0.7675098545957658,0.6709679804777047,-,0.9993783855785454,6278.0,0.0,0.0,6278.0,2331.0,8609.0,2104.0,497.0,7,76.75098545957658,0
QMJ,NHS North Central London Integrated Care Board,49172.0,6666.0,16058.0,71896.0,31769.0,6488.0,15154.0,53411.0,17403.0,178.0,904.0,18485.0,0.7428925114053633,0.6460790693890832,0.9732973297329733,0.9437040727363308,8107.0,6.0,0.0,8113.0,1267.0,9380.0,3582.0,1727.0,7,74.28925114053632,0
QRV,NHS North West London Integrated Care Board,51887.0,3868.0,49606.0,105361.0,32286.0,3835.0,48526.0,84647.0,19601.0,33.0,1080.0,20714.0,0.8033997399417242,0.6222367837801376,0.9914684591520165,0.9782284401080514,16699.0,0.0,0.0,16699.0,2153.0,18852.0,2579.0,504.0,7,80.33997399417242,0
QPM,NHS Northamptonshire Integrated Care Board,22170.0,594.0,11069.0,33833.0,15119.0,580.0,10980.0,26679.0,7051.0,14.0,89.0,7154.0,0.7885496408831614,0.681957600360848,0.9764309764309764,0.9919595266058361,4184.0,0.0,0.0,4184.0,1516.0,5700.0,2669.0,702.0,7,78.85496408831614,0
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,27925.0,2095.0,11717.0,41737.0,15885.0,2008.0,11324.0,29217.0,12040.0,87.0,393.0,12520.0,0.700026355511896,0.5688451208594449,0.958472553699284,0.966458991209354,7999.0,0.0,0.0,7999.0,4362.0,12361.0,1898.0,477.0,7,70.0026355511896,0
QKK,NHS South East London Integrated Care Board,41030.0,809.0,39786.0,81625.0,23196.0,809.0,37387.0,61392.0,17834.0,0.0,2399.0,20233.0,0.7521225114854517,0.565342432366561,1,0.9397024078821696,9031.0,0.0,0.0,9031.0,2147.0,11178.0,3826.0,1219.0,7,75.21225114854518,0
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",10516.0,0.0,5962.0,16478.0,4842.0,0.0,5803.0,10645.0,5674.0,0.0,159.0,5833.0,0.6460128656390338,0.4604412324077596,-,0.9733310969473331,3202.0,0.0,143.0,3345.0,2120.0,5465.0,1129.0,560.0,7,64.60128656390339,0
QSL,NHS Somerset Integrated Care Board,13431.0,0.0,10214.0,23645.0,7983.0,0.0,10044.0,18027.0,5448.0,0.0,170.0,5618.0,0.7624021991964475,0.5943712307348671,-,0.983356177795183,3370.0,0.0,0.0,3370.0,2047.0,5417.0,365.0,8.0,7,76.24021991964474,0
QWE,NHS South West London Integrated Care Board,41585.0,338.0,18025.0,59948.0,28205.0,338.0,17670.0,46213.0,13380.0,0.0,355.0,13735.0,0.7708847667978915,0.6782493687627751,1,0.9803051317614424,8081.0,4.0,160.0,8245.0,1806.0,10051.0,3670.0,1971.0,7,77.08847667978915,0
QF7,NHS South Yorkshire Integrated Care Board,46070.0,1227.0,12553.0,59850.0,30115.0,1227.0,12422.0,43764.0,15955.0,0.0,131.0,16086.0,0.7312280701754386,0.653679183850662,1,0.9895642475902174,14482.0,0.0,392.0,14874.0,5413.0,20287.0,2996.0,253.0,7,73.12280701754386,0
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,14102.0,508.0,9051.0,23661.0,7397.0,508.0,8935.0,16840.0,6705.0,0.0,116.0,6821.0,0.7117197075356071,0.5245355268756204,1,0.9871837366036902,5207.0,0.0,0.0,5207.0,3395.0,8602.0,1877.0,903.0,7,71.17197075356071,0
QJG,NHS Suffolk And North East Essex Integrated Care Board,23693.0,0.0,13005.0,36698.0,14151.0,0.0,12837.0,26988.0,9542.0,0.0,168.0,9710.0,0.7354079241375552,0.5972650149833284,-,0.9870818915801615,8354.0,0.0,387.0,8741.0,1717.0,10458.0,2113.0,549.0,7,73.54079241375551,0
QXU,NHS Surrey Heartlands Integrated Care Board,27815.0,0.0,6367.0,34182.0,20430.0,0.0,6288.0,26718.0,7385.0,0.0,79.0,7464.0,0.7816394593645778,0.7344957756606147,-,0.9875922726558819,8597.0,0.0,0.0,8597.0,2580.0,11177.0,1912.0,560.0,7,78.16394593645778,0
QNX,NHS Sussex Integrated Care Board,34714.0,1526.0,30005.0,66245.0,21665.0,1508.0,29206.0,52379.0,13049.0,18.0,799.0,13866.0,0.7906860895161899,0.6240997868295213,0.9882044560943644,0.973371104815864,11509.0,38.0,30.0,11577.0,2686.0,14263.0,3238.0,1298.0,7,79.06860895161898,0
QUA,NHS Black Country Integrated Care Board,47388.0,1101.0,29191.0,77680.0,30875.0,962.0,28667.0,60504.0,16513.0,139.0,524.0,17176.0,0.7788877445932029,0.6515362539039419,0.8737511353315168,0.9820492617587613,16312.0,0.0,0.0,16312.0,4272.0,20584.0,6673.0,1191.0,7,77.88877445932029,0
QWO,NHS West Yorkshire Integrated Care Board,65918.0,2260.0,23669.0,91847.0,42908.0,2260.0,23052.0,68220.0,23010.0,0.0,617.0,23627.0,0.742756976275763,0.6509299432628417,1,0.9739321475347501,14205.0,0.0,231.0,14436.0,4770.0,19206.0,6873.0,880.0,7,74.27569762757629,0
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",18798.0,297.0,10694.0,29789.0,11262.0,297.0,10499.0,22058.0,7536.0,0.0,195.0,7731.0,0.7404746718587398,0.5991062879029684,1,0.9817654759678325,6349.0,0.0,9.0,6358.0,3629.0,9987.0,1764.0,62.0,9,74.04746718587398,0
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",24384.0,0.0,15080.0,39464.0,14923.0,0.0,15021.0,29944.0,9461.0,0.0,59.0,9520.0,0.758767484289479,0.6119996719160105,-,0.9960875331564987,6410.0,0.0,0.0,6410.0,2567.0,8977.0,668.0,6.0,9,75.8767484289479,0
QHL,NHS Birmingham And Solihull Integrated Care Board,37046.0,312.0,15983.0,53341.0,23447.0,312.0,15972.0,39731.0,13599.0,0.0,11.0,13610.0,0.7448491779306725,0.632915834368083,1,0.9993117687543015,12176.0,0.0,0.0,12176.0,6292.0,18468.0,4269.0,1995.0,9,74.48491779306725,0
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",23668.0,2238.0,8767.0,34673.0,14765.0,2102.0,8217.0,25084.0,8903.0,136.0,550.0,9589.0,0.7234447552850921,0.6238380936285279,0.9392314566577301,0.9372647427854455,8144.0,13.0,0.0,8157.0,3247.0,11404.0,2425.0,657.0,9,72.34447552850921,0
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",35296.0,5196.0,13129.0,53621.0,22636.0,5182.0,12417.0,40235.0,12660.0,14.0,712.0,13386.0,0.750359001137614,0.6413191296464189,0.9973056197074672,0.9457689085231168,10984.0,896.0,49.0,11929.0,6486.0,18415.0,1928.0,305.0,9,75.0359001137614,0
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,24656.0,0.0,11000.0,35656.0,14136.0,0.0,10605.0,24741.0,10520.0,0.0,395.0,10915.0,0.6938804128337447,0.5733290071382219,-,0.9640909090909091,6268.0,0.0,57.0,6325.0,1875.0,8200.0,2243.0,1129.0,9,69.38804128337446,0
QYG,NHS Cheshire And Merseyside Integrated Care Board,67616.0,3256.0,46068.0,116940.0,37264.0,2897.0,45047.0,85208.0,30352.0,359.0,1021.0,31732.0,0.7286471694886266,0.5511121628017037,0.8897420147420148,0.9778371103586003,20717.0,132.0,0.0,20849.0,8449.0,29298.0,8752.0,4127.0,9,72.86471694886266,0
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6479.0,0.0,12187.0,18666.0,2477.0,0.0,11316.0,13793.0,4002.0,0.0,871.0,4873.0,0.7389371048966035,0.3823120851983331,-,0.9285304012472306,2341.0,0.0,65.0,2406.0,1390.0,3796.0,1183.0,605.0,9,73.89371048966035,0
QWU,NHS Coventry And Warwickshire Integrated Care Board,25905.0,811.0,7792.0,34508.0,16137.0,686.0,7538.0,24361.0,9768.0,125.0,254.0,10147.0,0.7059522429581546,0.6229299363057325,0.8458692971639951,0.9674024640657084,5008.0,37.0,157.0,5202.0,1438.0,6640.0,1122.0,188.0,9,70.59522429581546,0
QHM,NHS North East And North Cumbria Integrated Care Board,72397.0,2851.0,62413.0,137661.0,42612.0,2682.0,61598.0,106892.0,29785.0,169.0,815.0,30769.0,0.7764871677526678,0.5885879249140158,0.9407225534900036,0.9869418230176406,23979.0,53.0,696.0,24728.0,10256.0,34984.0,5926.0,779.0,9,77.64871677526678,0
QJK,NHS Devon Integrated Care Board,28721.0,166.0,14558.0,43445.0,15693.0,166.0,14287.0,30146.0,13028.0,0.0,271.0,13299.0,0.6938888249510876,0.5463946241426134,1,0.9813848056051655,8710.0,0.0,0.0,8710.0,4561.0,13271.0,2877.0,543.0,9,69.38888249510876,0
QVV,NHS Dorset Integrated Care Board,17529.0,0.0,8482.0,26011.0,11143.0,0.0,8475.0,19618.0,6386.0,0.0,7.0,6393.0,0.7542193687286148,0.6356894289463175,-,0.9991747229427022,5741.0,0.0,2.0,5743.0,2707.0,8450.0,1125.0,173.0,9,75.42193687286148,0
QMF,NHS North East London Integrated Care Board,47519.0,3355.0,33818.0,84692.0,29111.0,3001.0,32398.0,64510.0,18408.0,354.0,1420.0,20182.0,0.7617012232560336,0.6126181106504767,0.8944858420268257,0.9580105269383169,14271.0,0.0,0.0,14271.0,926.0,15197.0,3556.0,1520.0,9,76.17012232560336,0
QNQ,NHS Frimley Integrated Care Board,22006.0,968.0,10346.0,33320.0,11674.0,968.0,10239.0,22881.0,10332.0,0.0,107.0,10439.0,0.6867046818727491,0.5304916840861583,1,0.9896578387782718,5936.0,0.0,0.0,5936.0,105.0,6041.0,2157.0,247.0,9,68.6704681872749,0
QR1,NHS Gloucestershire Integrated Care Board,12548.0,0.0,7785.0,20333.0,7685.0,0.0,7760.0,15445.0,4863.0,0.0,25.0,4888.0,0.759602616436335,0.612448198916162,-,0.9967886962106616,2604.0,0.0,1.0,2605.0,1995.0,4600.0,836.0,407.0,9,75.9602616436335,0
QOP,NHS Greater Manchester Integrated Care Board,83466.0,3432.0,33131.0,120029.0,45623.0,3302.0,31961.0,80886.0,37843.0,130.0,1170.0,39143.0,0.6738871439402144,0.5466058035607313,0.9621212121212122,0.9646856418460052,22241.0,137.0,690.0,23068.0,5622.0,28690.0,11248.0,2267.0,9,67.38871439402145,0
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,38561.0,2277.0,22198.0,63036.0,22597.0,2157.0,21849.0,46603.0,15964.0,120.0,349.0,16433.0,0.7393076971889079,0.5860065869661056,0.9472990777338604,0.9842778628705289,12228.0,18.0,0.0,12246.0,5399.0,17645.0,2701.0,192.0,9,73.93076971889079,0
QE1,NHS Lancashire And South Cumbria Integrated Care Board,42657.0,0.0,30623.0,73280.0,26678.0,0.0,29749.0,56427.0,15979.0,0.0,874.0,16853.0,0.7700191048034934,0.625407318845676,-,0.9714593606113052,12771.0,0.0,159.0,12930.0,5201.0,18131.0,5019.0,2559.0,9,77.00191048034935,0
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,18685.0,1183.0,5942.0,25810.0,10356.0,1183.0,5929.0,17468.0,8329.0,0.0,13.0,8342.0,0.6767919411080976,0.5542413700829543,1,0.9978121844496802,4767.0,0.0,0.0,4767.0,1039.0,5806.0,1904.0,653.0,9,67.67919411080976,0
QM7,NHS Hertfordshire And West Essex Integrated Care Board,24639.0,0.0,21414.0,46053.0,13765.0,0.0,21066.0,34831.0,10874.0,0.0,348.0,11222.0,0.7563242351204047,0.5586671536994197,-,0.9837489492855142,9614.0,0.0,86.0,9700.0,1197.0,10897.0,1535.0,138.0,9,75.63242351204048,0
QOQ,NHS Humber And North Yorkshire Integrated Care Board,33217.0,348.0,28811.0,62376.0,16376.0,348.0,28031.0,44755.0,16841.0,0.0,780.0,17621.0,0.7175035269975631,0.49300057199626696,1,0.97292700704592,13710.0,0.0,0.0,13710.0,4387.0,18097.0,4342.0,1855.0,9,71.75035269975632,0
QJ2,NHS Derby And Derbyshire Integrated Care Board,28216.0,0.0,23856.0,52072.0,15545.0,0.0,23543.0,39088.0,12671.0,0.0,313.0,12984.0,0.7506529420801966,0.5509285511766374,-,0.9868796109993293,6429.0,0.0,300.0,6729.0,2535.0,9264.0,2754.0,1011.0,9,75.06529420801967,0
QKS,NHS Kent And Medway Integrated Care Board,50265.0,0.0,45930.0,96195.0,34903.0,0.0,45115.0,80018.0,15362.0,0.0,815.0,16177.0,0.8318311762565622,0.6943797871282205,-,0.9822556063575005,12487.0,0.0,642.0,13129.0,2328.0,15457.0,4309.0,1946.0,9,83.18311762565622,0
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",21307.0,1896.0,12582.0,35785.0,11957.0,1712.0,12563.0,26232.0,9350.0,184.0,19.0,9553.0,0.7330445717479391,0.5611770779556015,0.9029535864978903,0.9984899062152282,5964.0,3.0,0.0,5967.0,3345.0,9312.0,2254.0,840.0,9,73.30445717479391,0
QJM,NHS Lincolnshire Integrated Care Board,9451.0,0.0,18231.0,27682.0,3769.0,0.0,16860.0,20629.0,5682.0,0.0,1371.0,7053.0,0.7452134961346724,0.39879377843614433,-,0.9247984202731611,4054.0,0.0,0.0,4054.0,1048.0,5102.0,1973.0,950.0,9,74.52134961346724,0
QH8,NHS Mid And South Essex Integrated Care Board,29865.0,0.0,5543.0,35408.0,20076.0,0.0,5335.0,25411.0,9789.0,0.0,208.0,9997.0,0.7176626751016719,0.6722250125565042,-,0.9624751939383006,8684.0,0.0,224.0,8908.0,1203.0,10111.0,3372.0,87.0,9,71.7662675101672,0
QMM,NHS Norfolk And Waveney Integrated Care Board,25917.0,0.0,10798.0,36715.0,16047.0,0.0,10795.0,26842.0,9870.0,0.0,3.0,9873.0,0.7310908348086613,0.619168885287649,-,0.9997221707723652,6307.0,0.0,0.0,6307.0,2208.0,8515.0,2268.0,545.0,9,73.10908348086613,0
QMJ,NHS North Central London Integrated Care Board,46446.0,6111.0,14910.0,67467.0,30480.0,5954.0,14180.0,50614.0,15966.0,157.0,730.0,16853.0,0.7502038033408925,0.6562459630538691,0.9743086237931599,0.9510395707578806,7596.0,6.0,187.0,7789.0,1137.0,8926.0,3532.0,1687.0,9,75.02038033408925,0
QRV,NHS North West London Integrated Care Board,49881.0,3907.0,46299.0,100087.0,29256.0,3814.0,45362.0,78432.0,20625.0,93.0,937.0,21655.0,0.7836382347357799,0.5865159078607085,0.9761965702585104,0.979761981900257,15613.0,4.0,0.0,15617.0,1866.0,17483.0,3579.0,905.0,9,78.36382347357798,0
QPM,NHS Northamptonshire Integrated Care Board,20796.0,515.0,10175.0,31486.0,13474.0,508.0,9967.0,23949.0,7322.0,7.0,208.0,7537.0,0.7606237692942895,0.6479130602038854,0.9864077669902913,0.9795577395577395,3925.0,0.0,0.0,3925.0,1341.0,5266.0,2512.0,680.0,9,76.06237692942895,0
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,26325.0,1846.0,10626.0,38797.0,15038.0,1771.0,10425.0,27234.0,11287.0,75.0,201.0,11563.0,0.7019614918679279,0.571244064577398,0.9593716143011918,0.9810841332580463,8257.0,0.0,0.0,8257.0,4018.0,12275.0,2077.0,623.0,9,70.1961491867928,0
QKK,NHS South East London Integrated Care Board,39513.0,700.0,34926.0,75139.0,21780.0,656.0,32612.0,55048.0,17733.0,44.0,2314.0,20091.0,0.7326155525093493,0.5512109938501253,0.9371428571428572,0.9337456336253793,10548.0,0.0,0.0,10548.0,2071.0,12619.0,4115.0,1360.0,9,73.26155525093493,0
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",10075.0,0.0,5537.0,15612.0,4330.0,0.0,5366.0,9696.0,5745.0,0.0,171.0,5916.0,0.6210607225211375,0.4297766749379653,-,0.969116850279935,3078.0,0.0,164.0,3242.0,2050.0,5292.0,1071.0,587.0,9,62.106072252113755,0
QSL,NHS Somerset Integrated Care Board,12678.0,0.0,9109.0,21787.0,7480.0,0.0,8911.0,16391.0,5198.0,0.0,198.0,5396.0,0.7523293707256621,0.589998422464111,-,0.9782632561203206,2057.0,0.0,0.0,2057.0,2955.0,5012.0,470.0,53.0,9,75.2329370725662,0
QWE,NHS South West London Integrated Care Board,39587.0,333.0,17390.0,57310.0,25863.0,333.0,17076.0,43272.0,13724.0,0.0,314.0,14038.0,0.7550514744372709,0.6533205345189077,1,0.981943645773433,7853.0,3.0,147.0,8003.0,1245.0,9248.0,3638.0,2067.0,9,75.5051474437271,0
QF7,NHS South Yorkshire Integrated Care Board,43787.0,1120.0,11886.0,56793.0,27629.0,1120.0,11795.0,40544.0,16158.0,0.0,91.0,16249.0,0.7138907964009649,0.6309863658163382,1,0.9923439340400471,13189.0,0.0,394.0,13583.0,4820.0,18403.0,3374.0,250.0,9,71.38907964009648,0
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,13779.0,463.0,8526.0,22768.0,6876.0,463.0,8425.0,15764.0,6903.0,0.0,101.0,7004.0,0.6923752635277582,0.4990202482037884,1,0.9881538822425522,5208.0,0.0,0.0,5208.0,3840.0,9048.0,1622.0,546.0,9,69.23752635277583,0
